"Milk" "Fat" "Protein" "Fat_Percent" "Pro_Percent" "AFC" "DFB_PTA" "Net_Merit" "Prod_Life" "SCS" "Dtr_Preg_Rate" "Heifer_Conc_Rate" "Cow_Conc_Rate" "Sire_Calv_Ease" "Dtr_Calv_Ease" "Sire_Still_Birth" "Dtr_Still_Birth" "Final_score" "Stature" "Strength" "Dairy_form" "Foot_angle" "Rear_legs.side." "Body_depth" "Rump_angle" "Rump_width" "Fore_udder_att" "Rear_ud_height" "Udder_depth" "Udder_cleft" "Front_teat_pla" "Teat_length" "Rear_legs.rear." "Feet_and_legs" "Rear_teat_pla"
"Rump_width" 0.101463597339199 0.0876192344572101 0.119862970946771 -0.0143331849116781 -0.00329340736282261 -0.0534653901545777 0.0865519865659629 -0.0118547808822743 -0.157759175286052 0.0576915942278265 -0.100893303551697 -0.0236491893942887 -0.0958549057275471 0.142088218870063 0.0164656197327442 0.0766002112932059 0.00191549040837038 0.480957885704377 0.55357041875801 0.564484027216206 0.287508181000585 0.270047235088912 0.0433292211963967 0.573996362924212 -0.0570446255375761 1 0.228889279174145 0.259824974034391 0.112761709064455 0.244141152052009 0.150705137003591 0.113557945908457 0.212772533539978 0.201090227971605 0.149203427818558
"Fore_udder_att" -0.0465216234319217 0.0163216200792784 -0.0223398556968317 0.0491777633371568 0.0479316514745723 -0.00474641368695348 -0.0254430620067677 0.22322997931588 0.24196576489173 -0.144776470590734 0.0488442352531967 0.0222481932758381 0.0415886188359271 -3.45995353071973e-05 -0.0230385606819462 0.00856028569077323 -0.00285409676512122 0.684759234137936 0.236806057207321 0.210143367776479 0.0152625210402154 0.348196109264448 -0.0674155669357403 0.128850867339349 -0.147338059617491 0.228889279174145 1 0.612250357723892 0.746646036179114 0.364722183789057 0.443591446535065 -0.120742260362012 0.262061500505364 0.297734184556833 0.262582102646074
"Rear_ud_height" 0.167693068235534 0.11164811311083 0.178189723460802 -0.0530726424108599 -0.0342341591133742 -0.0208667193395349 0.0616537478325588 0.26819031736022 0.15333348803545 -0.0200046703964919 -0.0560921382795317 0.00693422983220028 -0.0114483679659404 -0.00407227780841777 -0.0354238969013317 0.00432076802445052 -0.044226688333844 0.702312740256864 0.222178933508407 0.0996841460318198 0.328845398183407 0.284369507845856 -0.0577171126011117 0.143881414754578 -0.0629251255105061 0.259824974034391 0.612250357723892 1 0.37883020674934 0.456534715799523 0.295299398672316 -0.0287280572237439 0.28087873484852 0.347982140808649 0.280192315518724
"Udder_depth" -0.19609336435944 -0.107535451625301 -0.180085412239407 0.0763198010305295 0.0774066548704559 0.000355481866542368 -0.0993197086921025 0.145254737351968 0.272956852580216 -0.201037867351707 0.152444172969195 0.0402910296945169 0.123957301710842 -0.00933953326912113 -0.0347910333366952 -0.00990288290930796 -0.0132017218521065 0.440681083851444 0.287074649432546 0.0449204668111049 -0.189471529784008 0.265112745080516 -0.0668446330005311 -0.0792070960475185 -0.0405397015818215 0.112761709064455 0.746646036179114 0.37883020674934 1 0.293270552679975 0.278131218132139 -0.146778047760865 0.144001648423503 0.189442177654568 0.153834023416452
"Udder_cleft" 0.0708820970811553 0.069781067152299 0.0846894125789899 -0.00454624691730732 -0.00337484774253605 -0.0219094985643278 0.0432378914453295 0.160423507583922 0.0830945236850554 -0.029268016644941 -0.0441174537799741 -0.00686202009385534 -0.0241665258563753 0.0144979729780667 -0.0138530217877443 -0.00626308451394136 -0.027832294316364 0.543269567593535 0.227643855142231 0.109847063653788 0.282126160049231 0.200017800741374 0.0551722860035712 0.183456718942208 -0.0907315375375923 0.244141152052009 0.364722183789057 0.456534715799523 0.293270552679975 1 0.606954209298854 -0.0931209113244373 0.196748765312701 0.264555125838417 0.720535046368289
"Front_teat_pla" 0.0244527274919104 0.0483429773226885 0.04421911418584 0.0162740619197148 0.020229671996893 -0.0327477501569185 0.01951854084339 0.125864274682506 0.0699563268511198 -0.0160802765708718 -0.0152074430111958 -0.00387560013029562 -0.0164660599824953 -0.0192263144447456 -0.016979627533043 -0.0132341964481013 -0.0319943799626531 0.46066367996884 0.140593418752341 0.0787300289379847 0.197843355949649 0.142179812750461 0.0659233923794546 0.12886939948339 -0.0588442730825568 0.150705137003591 0.443591446535065 0.295299398672316 0.278131218132139 0.606954209298854 1 -0.336994988318881 0.149013713246138 0.170185084652901 0.735353337607593
"Teat_length" 0.0456989335301611 -0.0120595129622096 0.0223369227930142 -0.0494153006678779 -0.0429458972162689 -0.00795417899312202 0.0326744046267946 -0.0881956119580422 -0.114359338578277 0.0289231486497033 -0.0516282340407576 -0.0181616110886706 -0.0567251394228459 0.0649157178153097 0.0293624449708896 0.0359245636630869 0.0188951278699449 -0.0324574134368289 0.146542716548424 0.198198493606488 0.0252609492243583 0.0381662485251931 -0.0346203682052497 0.193766328131155 -0.0232442171995089 0.113557945908457 -0.120742260362012 -0.0287280572237439 -0.146778047760865 -0.0931209113244373 -0.336994988318881 1 0.00784560091583389 -0.0174213397541555 -0.21785332623184
"Rear_legs(rear)" 0.059723577846662 0.0449405377130863 0.0766635527113175 -0.0157011498703862 0.00559572748671455 -0.0253181041136911 -0.00824202234789103 0.154277383633968 0.133127622758979 -0.0305323257705852 0.00079973802329843 0.0038698518961608 -2.73064383857575e-05 0.0140055373146998 -0.00905976462798705 -0.00188927709482855 -0.00801922366487919 0.487909883829153 0.18788881357244 0.300329440113045 0.0746927705254144 0.644756931281822 -0.411195877326915 0.238139085624576 -0.113315756218044 0.212772533539978 0.262061500505364 0.28087873484852 0.144001648423503 0.196748765312701 0.149013713246138 0.00784560091583389 1 0.863205959623343 0.105039348413022
"Feet_and_legs" 0.0661176476632257 0.0713303637143684 0.0978693945484215 0.000675684355636665 0.0235384560061901 -0.023334219080476 -0.0183377157881369 0.208454362988376 0.179863695629337 -0.047696152487539 0.0163853342655982 0.00660133461983661 0.0264912254709376 -0.00284121470486811 -0.0330244549500389 -0.021654144239668 -0.0321878684888826 0.570964822795584 0.226041302822992 0.226727146448103 0.146548716439611 0.753823319207029 -0.398267967649825 0.215989591929979 -0.0821132179590732 0.201090227971605 0.297734184556833 0.347982140808649 0.189442177654568 0.264555125838417 0.170185084652901 -0.0174213397541555 0.863205959623343 1 0.138441619354227
"Rear_teat_pla" 0.0422801475283794 0.0431799401362325 0.0502507725329581 -0.00226953000949889 -0.00561536594854301 -0.0235212402415989 0.0379901095029859 0.0891648791407285 0.0128256448427406 0.0232207053266722 -0.0445190024354509 -0.00607707084186815 -0.0373802155023239 -0.00426236508337338 -0.0189627891042451 0.00813453802637435 -0.035587896848174 0.36231195987477 0.131129584946297 0.0435253231008556 0.212807812189916 0.103251658936139 0.0847083603083373 0.120632703548087 -0.0530318185322619 0.149203427818558 0.262582102646074 0.280192315518724 0.153834023416452 0.720535046368289 0.735353337607593 -0.21785332623184 0.105039348413022 0.138441619354227 1
